Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Medicare,217360.00,General Fund
2012,Public Safety,Weights & Measures,Administration,Salaries and Wages,Medicare,1190.00,General Fund
2014,General Government,Executive,Executive,Salaries and Wages,Medicare,9885.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Medicare,5685.00,General Fund
2016,Public Safety,Police,Administration,Salaries and Wages,Medicare,24050.00,General Fund
2011,Education,Education,Baldwin School,Other Ordinary Maintenance,Computer Supplies,4140.00,General Fund
2011,Education,Education,Human Resources,Other Ordinary Maintenance,Postage,2500.00,General Fund
2012,Education,Education,Human Resources,Salaries and Wages,Temp Salaries - Professional,0.00,General Fund
2013,Education,Education,Language Arts,Other Ordinary Maintenance,Text Books,3620.00,General Fund
2014,Education,Education,Tobin School,Other Ordinary Maintenance,Postage,385.00,General Fund
2015,Education,Education,Science ,Travel and Training,Workshops Stipends/Prof. Dev.,8064.00,General Fund
2015,Education,Education,King School,Other Ordinary Maintenance,Text Books,3300.00,General Fund
2015,Education,Education,Morse School,Other Ordinary Maintenance,Postage,1600.00,General Fund
2015,Education,Education,King School,Salaries and Wages,Perm Salaries - Custodial,172619.00,General Fund
2015,Education,Education,King Open School,Other Ordinary Maintenance,Instruction Services,0.00,General Fund
2015,Education,Education,Plant Maintenance,Other Ordinary Maintenance,Electricity,2300000.00,General Fund
2012,Public Safety,Electrical,Administration,Travel and Training,Dues & Subscriptions,570.00,General Fund
2012,Public Safety,Police,Leadership,Travel and Training,Dues & Subscriptions,6000.00,General Fund
2014,General Government,Finance,Personnel,Travel and Training,Judgments,55000.00,General Fund
2016,General Government,Mayor,Administration,Salaries and Wages,Medicare,4980.00,General Fund
2011,Education,Education,Cambridgeport School,Other Ordinary Maintenance,Text Books,2697.00,General Fund
2011,Education,Education,Payroll,Other Ordinary Maintenance,Postage,8000.00,General Fund
2011,Education,Education,Human Resources,Other Ordinary Maintenance,Rental of Equipment,0.00,General Fund
2012,Education,Education,Haggerty School,Other Ordinary Maintenance,Text Books,0.00,General Fund
2012,Education,Education,Family Resource Center,Other Ordinary Maintenance,Postage,9000.00,General Fund
2012,Education,Education,Human Resources,Other Ordinary Maintenance,Rental of Equipment,0.00,General Fund
2013,Education,Education,Peabody School,Other Ordinary Maintenance,Text Books,3967.00,General Fund
2013,Education,Education,Cambridge Rindge and Latin,Salaries and Wages,Health Insurance,0.00,General Fund
2014,Education,Education,Science ,Travel and Training,Business Travel in City,1400.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Dental Insurance,12900.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Health Insurance,155950.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Medicare,5630.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Misc. Additional Comp,6625.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Pensions,85000.00,General Fund
2011,General Government,City Clerk,Administration,Salaries and Wages,Permanent Salaries/Wages,612025.00,General Fund
2011,General Government,City Clerk,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,17490.00,General Fund
2011,General Government,City Clerk,Administration,Other Ordinary Maintenance,Communication,17330.00,General Fund
2011,General Government,City Clerk,Administration,Other Ordinary Maintenance,Other Supplies,3000.00,General Fund
2011,General Government,City Clerk,Administration,Other Ordinary Maintenance,Professional and Technical Services,8500.00,General Fund
2011,General Government,City Clerk,Administration,Other Ordinary Maintenance,Repairs and Maint - Supplies,9790.00,General Fund
2011,General Government,City Clerk,Administration,Travel and Training,Dues & Subscriptions,220.00,General Fund
2011,General Government,City Clerk,Administration,Travel and Training,Travel and Training  (Out of State),3400.00,General Fund
2011,General Government,City Clerk,Administration,Travel and Training,Travel and Training  (In State),800.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Dental Insurance,13070.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Health Insurance,207860.00,General Fund
2016,Public Safety,Police,Commissioner's Office,Salaries and Wages,Medicare,5955.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Longevity Salaries\Wages,6000.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Medicare,12205.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Misc. Additional Comp,6760.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Pensions,93500.00,General Fund
2011,General Government,City Council,Administration,Salaries and Wages,Permanent Salaries/Wages,1077575.00,General Fund
2011,General Government,City Council,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,14800.00,General Fund
2011,General Government,City Council,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,12100.00,General Fund
2011,General Government,City Council,Administration,Other Ordinary Maintenance,Professional and Technical Services,15000.00,General Fund
2011,General Government,City Council,Administration,Travel and Training,Dues & Subscriptions,19355.00,General Fund
2011,General Government,City Council,Administration,Travel and Training,Travel and Training  (Out of State),40500.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Dental Insurance,6050.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Health Insurance,106180.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Medicare,5510.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Misc. Additional Comp,5020.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Overtime Salaries/Wages,10000.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Pensions,76500.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Permanent Salaries/Wages,361490.00,General Fund
2011,General Government,Election Commission,Election Commission,Salaries and Wages,Temporary Salaries/Wages,50395.00,General Fund
2011,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Administration & Gen Supplies,12000.00,General Fund
2011,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Communication,90870.00,General Fund
2011,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Other Property Related Services,2500.00,General Fund
2011,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Other Purchased Services,44025.00,General Fund
2011,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Professional and Technical Services,124240.00,General Fund
2011,General Government,Election Commission,Election Commission,Travel and Training,Dues & Subscriptions,150.00,General Fund
2011,General Government,Election Commission,Election Commission,Travel and Training,Travel and Training  (Out of State),2120.00,General Fund
2011,General Government,Employee Benefits,Pensions,Salaries and Wages,Health Insurance,12543775.00,General Fund
2011,General Government,Employee Benefits,Pensions,Salaries and Wages,Pensions,6673000.00,General Fund
2011,General Government,Employee Benefits,Pensions,Salaries and Wages,Permanent Salaries/Wages,1350000.00,General Fund
2011,General Government,Employee Benefits,Insurance,Salaries and Wages,Fringe Benefits,1875125.00,General Fund
2011,General Government,Employee Benefits,Insurance,Salaries and Wages,Health Insurance,250000.00,General Fund
2011,General Government,Employee Benefits,Insurance,Salaries and Wages,Medicare,100000.00,General Fund
2011,General Government,Employee Benefits,Insurance,Other Ordinary Maintenance,Administration & Gen Supplies,411820.00,General Fund
2011,General Government,Employee Benefits,Insurance,Other Ordinary Maintenance,Other Purchased Services,404240.00,General Fund
2011,General Government,Employee Benefits,Collective Bargaining,Salaries and Wages,Dental Insurance,250000.00,General Fund
2011,General Government,Employee Benefits,Collective Bargaining,Salaries and Wages,Misc. Additional Comp,106685.00,General Fund
2011,General Government,Employee Benefits,Collective Bargaining,Salaries and Wages,Permanent Salaries/Wages,2723620.00,General Fund
2011,General Government,Employee Benefits,Collective Bargaining,Other Ordinary Maintenance,Professional and Technical Services,15015.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Dental Insurance,10530.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Health Insurance,139730.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Longevity Salaries\Wages,8000.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Medicare,6470.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Misc. Additional Comp,9000.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Pensions,76500.00,General Fund
2011,General Government,Executive,Executive,Salaries and Wages,Permanent Salaries/Wages,1185115.00,General Fund
2011,General Government,Executive,Executive,Other Ordinary Maintenance,Administration & Gen Supplies,10700.00,General Fund
2011,General Government,Executive,Executive,Other Ordinary Maintenance,Communication,54750.00,General Fund
2011,General Government,Executive,Executive,Other Ordinary Maintenance,Food and Food Service Supplies,4600.00,General Fund
2011,General Government,Executive,Executive,Other Ordinary Maintenance,Other Purchased Services,5600.00,General Fund
2011,General Government,Executive,Executive,Other Ordinary Maintenance,Other Supplies,2000.00,General Fund
2011,General Government,Executive,Executive,Other Ordinary Maintenance,Professional and Technical Services,428500.00,General Fund
2011,General Government,Executive,Executive,Travel and Training,Dues & Subscriptions,29000.00,General Fund
2011,General Government,Executive,Executive,Travel and Training,Travel and Training  (Out of State),9700.00,General Fund
2011,General Government,Finance,Administration,Salaries and Wages,Dental Insurance,2340.00,General Fund
2011,General Government,Finance,Administration,Salaries and Wages,Health Insurance,31190.00,General Fund
2011,General Government,Finance,Administration,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2011,General Government,Finance,Administration,Salaries and Wages,Misc. Additional Comp,2000.00,General Fund
2011,General Government,Finance,Administration,Salaries and Wages,Pensions,17000.00,General Fund
2011,General Government,Finance,Administration,Salaries and Wages,Permanent Salaries/Wages,217560.00,General Fund
2011,General Government,Finance,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,800.00,General Fund
2011,General Government,Finance,Administration,Other Ordinary Maintenance,Communication,480.00,General Fund
2011,General Government,Finance,Administration,Other Ordinary Maintenance,Other Supplies,1170.00,General Fund
2011,General Government,Finance,Administration,Other Ordinary Maintenance,Professional and Technical Services,261800.00,General Fund
2011,General Government,Finance,Administration,Travel and Training,Dues & Subscriptions,1100.00,General Fund
2011,General Government,Finance,Administration,Travel and Training,Travel and Training  (Out of State),1500.00,General Fund
2011,General Government,Finance,Administration,Travel and Training,Travel and Training  (In State),150.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Dental Insurance,4680.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Health Insurance,12610.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Longevity Salaries\Wages,2000.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Medicare,3935.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Misc. Additional Comp,4000.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Pensions,34000.00,General Fund
2011,General Government,Finance,Budget,Salaries and Wages,Permanent Salaries/Wages,348345.00,General Fund
2011,General Government,Finance,Budget,Other Ordinary Maintenance,Administration & Gen Supplies,3470.00,General Fund
2011,General Government,Finance,Budget,Other Ordinary Maintenance,Communication,6980.00,General Fund
2011,General Government,Finance,Budget,Travel and Training,Dues & Subscriptions,785.00,General Fund
2011,General Government,Finance,Budget,Travel and Training,Travel and Training  (Out of State),1715.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Dental Insurance,14040.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Health Insurance,172420.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Longevity Salaries\Wages,4600.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Medicare,7355.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Misc. Additional Comp,12000.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Pensions,102000.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Permanent Salaries/Wages,802360.00,General Fund
2011,General Government,Finance,Personnel,Salaries and Wages,Temporary Salaries/Wages,21360.00,General Fund
2011,General Government,Finance,Personnel,Other Ordinary Maintenance,Administration & Gen Supplies,12500.00,General Fund
2011,General Government,Finance,Personnel,Other Ordinary Maintenance,Communication,480.00,General Fund
2011,General Government,Finance,Personnel,Other Ordinary Maintenance,Other Purchased Services,172070.00,General Fund
2011,General Government,Finance,Personnel,Other Ordinary Maintenance,Other Supplies,2500.00,General Fund
2016,Public Safety,Police,Patrol,Salaries and Wages,Health Insurance,4408150.00,General Fund
2011,General Government,Finance,Personnel,Other Ordinary Maintenance,Professional and Technical Services,287000.00,General Fund
2011,General Government,Finance,Personnel,Other Ordinary Maintenance,Repairs and Maint - Supplies,1700.00,General Fund
2011,General Government,Finance,Personnel,Travel and Training,Dues & Subscriptions,14500.00,General Fund
2011,General Government,Finance,Personnel,Travel and Training,Judgments,55000.00,General Fund
2011,General Government,Finance,Personnel,Travel and Training,Travel and Training  (Out of State),30000.00,General Fund
2011,General Government,Finance,Personnel,Travel and Training,Travel and Training  (In State),50000.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Dental Insurance,16580.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Health Insurance,256380.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Longevity Salaries\Wages,8000.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Medicare,14270.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Misc. Additional Comp,13450.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Overtime Salaries/Wages,30000.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Pensions,119000.00,General Fund
2011,General Government,Finance,Assessors,Salaries and Wages,Permanent Salaries/Wages,1085155.00,General Fund
2011,General Government,Finance,Assessors,Other Ordinary Maintenance,Administration & Gen Supplies,30000.00,General Fund
2011,General Government,Finance,Assessors,Other Ordinary Maintenance,Professional and Technical Services,422665.00,General Fund
2011,General Government,Finance,Assessors,Travel and Training,Dues & Subscriptions,5000.00,General Fund
2011,General Government,Finance,Assessors,Travel and Training,Travel and Training  (In State),9400.00,General Fund
2011,General Government,Finance,Assessors,Extraordinary Expenditures,Additional Equipment,2800.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Dental Insurance,8990.00,General Fund
